FID,Shape *,type,idschool,district,name,dcode,address,x,y
139,Point,3,3110014005,สายไหม,โรงเรียนฤทธิยะวรรณาลัย,1042,171 ถ.ท่าดินแดง 3 แขวงคลองถนน เขตสายไหม,675576.359,1538781.954
140,Point,3,3110014006,สายไหม,โรงเรียนประชานุกูล,1042,116 แขวงสายไหม เขตสายไหม,676756.359,1539371.956
141,Point,2,3110014007,สายไหม,โรงเรียนพรพระร่วงประสิทธิ์,1042,110 หมู่ 6 แขวงออเงิน เขตสายไหม,679609.288,1535641.579
142,Point,3,3110014008,สายไหม,โรงเรียนวัดราษฎร์นิยมธรรม,1042,41 หมู่ 4 ถ.พหลโยธิน แขวงคลองถนน เขตสายไหม,675588.503,1535709.386
143,Point,3,3110014009,สายไหม,โรงเรียนซอยแอนเนกซ์ (กาญจนาภิเษก 2),1042,745 หมู่ 6 ถ.พหลโยธิน 58 เขตสายไหม,677044.614,1541193.748
144,Point,3,3110024001,สายไหม,โรงเรียนสายไหม,1042,19/3 หมู่ 3 ถ.ออเงิน แขวงสายไหม เขตสายไหม,679310.799,1540558.959
145,Point,3,3110024004,สายไหม,โรงเรียนวัดหนองใหญ่,1042,1 ถ.พระยาสุเรนทร์ แขวงสายไหม เขตสายไหม,682210.922,1539348.998
146,Point,2,3110011901,บางกะปิ,โรงเรียนไขศรีปราโมชอนุสรณ์,1006,136 ถ.ลาดพร้าว 134 แขวงคลองจั่น เขตบางกะปิ,676928.75,1522254.302
147,Point,2,3110011902,บางกะปิ,โรงเรียนสุเหร่าคลองจั่น,1006,596 ถ.รามคำแหง แขวงหัวหมาก เขตบางกะปิ,676732.711,1522277.341
148,Point,3,3110011903,บางกะปิ,โรงเรียนวัดเทพลีลา(สิงหประสิทธิวิทยา),1006,76 ซ.รามคำแหง 41 แขวงหัวหมาก เขตบางกะปิ,674661.081,1521581.585
